                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     52,               0.027179,               0.024968,               0.034489,              0.0018399,                0.91967,                0.89807,                0.94567,                0.74471,                 0.9097,                0.88797,                0.92877,                0.70126,                0.02279,               0.020902,               0.025635,              0.0010411,              0.0089902,              0.0089902,              0.0089902
                     53,               0.026891,               0.024882,               0.034675,              0.0018013,                0.89475,                0.92012,                0.94935,                0.74159,                0.88016,                0.90953,                0.93422,                0.70751,                0.02282,               0.021704,                0.02612,             0.00091187,              0.0089704,              0.0089704,              0.0089704
                     54,               0.026697,               0.024718,                0.03439,              0.0016938,                 0.8939,                0.92231,                0.94698,                0.74962,                0.88228,                0.90904,                0.93235,                 0.7128,               0.022485,               0.020874,               0.026497,              0.0012713,              0.0089506,              0.0089506,              0.0089506
                     55,               0.026946,               0.024454,               0.034033,              0.0017917,                0.91655,                0.88794,                0.94173,                0.72975,                  0.906,                0.87604,                0.92731,                0.69777,               0.023839,               0.021558,                0.02757,              0.0012918,              0.0089308,              0.0089308,              0.0089308
                     56,               0.026628,               0.024468,               0.033944,              0.0017465,                0.89202,                0.91374,                0.94278,                0.73599,                0.87753,                0.89871,                0.92359,                0.70498,               0.022996,               0.020928,               0.026178,             0.00097253,               0.008911,               0.008911,               0.008911
                     57,               0.026522,                0.02505,               0.034491,               0.001768,                0.90975,                0.90647,                0.94701,                0.74423,                0.90129,                0.88679,                0.92962,                0.70947,               0.022572,                0.02137,               0.027109,              0.0018666,              0.0088912,              0.0088912,              0.0088912
                     58,               0.026432,               0.024603,               0.033344,              0.0016465,                0.90833,                0.90532,                0.94468,                0.74239,                0.89814,                0.88635,                0.92446,                0.69516,               0.023282,               0.022835,               0.027346,              0.0017085,              0.0088714,              0.0088714,              0.0088714
                     59,                0.02655,                0.02431,               0.034195,              0.0017583,                0.92718,                0.90795,                0.95154,                0.75091,                0.92282,                 0.8886,                0.93331,                0.71135,               0.022488,               0.021081,               0.025859,               0.001138,              0.0088516,              0.0088516,              0.0088516
                     60,               0.026144,               0.024769,               0.033705,              0.0016258,                0.91386,                0.90921,                0.94859,                0.74245,                0.91658,                0.89232,                0.93328,                0.69291,               0.022926,               0.021314,               0.026404,              0.0018593,              0.0088318,              0.0088318,              0.0088318
                     61,               0.026101,               0.024754,               0.033821,              0.0017249,                0.91745,                0.91487,                 0.9502,                0.75363,                0.90723,                 0.8995,                0.93315,                0.71671,               0.022671,               0.021312,               0.026068,              0.0012203,               0.008812,               0.008812,               0.008812
